u_int32_t a;
u_int16_t end = packet->payload_packet_len;
u_int8_t number_of_lines_to_be_searched_for = 0;
u_int8_t http_response_code_detected = 0;
u_int8_t http_response_code_parsed = 0;
u_int8_t http_response_code = 0;
u_int8_t http_response_code_len = 0;
u_int8_t http_response_code_ptr = 0;
u_int8_t http_response_code_end = 0;
u_int8_t http_response_code_end_ptr = 0;
u_int8_t http_response_code_end_len = 0;
u_int8_t http_response_code_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_len = 0;
u_int8_t http_response_code_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr_end_ptr = 0;
