if (pkt) {
    pkt->host_line.ptr = NULL;
    pkt->host_line.len = 0;
    
    // Reset content line info
    memset(pkt->line, 0, sizeof(pkt->line));
    
    // Reset any parsed line state
    pkt->parsed_lines = 0;
    pkt->content_line.ptr = NULL;
    pkt->content_line.len = 0;
    pkt->cookie_line.ptr = NULL;
    pkt->cookie_line.len = 0;
    pkt->content_disposition_line.ptr = NULL;
    pkt->content_disposition_line.len = 0;
    pkt->accept_line.ptr = NULL;
    pkt->accept_line.len = 0;
    pkt->authorization_line.ptr = NULL;
    pkt->authorization_line.len = 0;
    pkt->user_agent_line.ptr = NULL;
    pkt->user_agent_line.len = 0;
    pkt->http_url_name.ptr = NULL;
    pkt->http_url_name.len = 0;
    pkt->http_encoding.ptr = NULL;
    pkt->http_encoding.len = 0;
    pkt->http_transfer_encoding.ptr = NULL;
    pkt->http_transfer_encoding.len = 0;
    pkt->http_contentlen.ptr = NULL;
    pkt->http_contentlen.len = 0;
    pkt->http_method.ptr = NULL;
    pkt->http_method.len = 0;
    pkt->http_response.ptr = NULL;
    pkt->http_response.len = 0;
  }
