memset(pkt->line, 0, sizeof(pkt->line));
  pkt->host_line.ptr = NULL;
  pkt->host_line.len = 0;
  pkt->content_line.ptr = NULL;
  pkt->content_line.len = 0;
  pkt->user_agent_line.ptr = NULL;
  pkt->user_agent_line.len = 0;
  pkt->server_line.ptr = NULL;
  pkt->server_line.len = 0;
  pkt->http_url_name.ptr = NULL;
  pkt->http_url_name.len = 0;
  pkt->detected_protocol = NDPI_PROTOCOL_UNKNOWN;
  pkt->client_certificate_requested = 0;
  pkt->server_certificate_present = 0;
  pkt->l7_protocol_info_count = 0;
