if(networkflow->http.url) ndpi_free(networkflow->http.url);
if(networkflow->http.content_type) ndpi_free(networkflow->http.content_type);
if(networkflow->http.user_agent) ndpi_free(networkflow->http.user_agent);
if(networkflow->http.server) ndpi_free(networkflow->http.server);

if(networkflow->protos.stun_ssl.ssl.client_certificate) ndpi_free(networkflow->protos.stun_ssl.ssl.client_certificate);
if(networkflow->protos.stun_ssl.ssl.server_certificate) ndpi_free(networkflow->protos.stun_ssl.ssl.server_certificate);
if(networkflow->protos.stun_ssl.ssl.server_organization) ndpi_free(networkflow->protos.stun_ssl.ssl.server_organization);
if(networkflow->protos.stun_ssl.ssl.alpn) ndpi_free(networkflow->protos.stun_ssl.ssl.alpn);
if(networkflow->protos.stun_ssl.ssl.tls_supported_versions) ndpi_free(networkflow->protos.stun_ssl.ssl.tls_supported_versions);
if(networkflow->protos.stun_ssl.ssl.ja3_client) ndpi_free(networkflow->protos.stun_ssl.ssl.ja3_client);
if(networkflow->protos.stun_ssl.ssl.ja3_server) ndpi_free(networkflow->protos.stun_ssl.ssl.ja3_server);

if(networkflow->l4.tcp.tls.message.buffer) ndpi_free(networkflow->l4.tcp.tls.message.buffer);

if(networkflow->host_server_name) ndpi_free(networkflow->host_server_name);
