;
                current_image->page.width=1;
                current_image->page.height=1;
                current_image->page.x=crop_box.left;
                current_image->page.y=crop_box.top;
                current_image->background_color.alpha=OpaqueAlpha;
                (void) SetImageBackgroundColor(current_image,exception);
              }
          }

        mng_info->image_box=crop_box;
        mng_info->image=current_image;
        mng_info->object_id=object_id;
        mng_info->mng_type=mng_type;
        mng_info->mng_width=mng_info->image_box.right-mng_info->image_box.left;
        mng_info->mng_height=mng_info->image_box.bottom-mng_info->image_box.top;
        mng_info->x_off[object_id]=mng_info->image_box.left-mng_info->mng_width;
        mng_info->y_off[object_id]=mng_info->image_box.top-mng_info->mng_height;
        mng_info->clip=mng_info->object_clip[object_id];
        mng_info->clip=mng_minimum_box(mng_info->clip,mng_info->frame);
        mng_info->clip=mng_minimum_box(mng_info->clip,mng_info->image_box);
        mng_info->frame=mng_info->clip;
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->object_clip[object_id]);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->frame);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->clip);
        mng_info->frame=mng_minimum_box(mng_info->frame,mng_info->image_box);
