static mrb_value
int_to_s(mrb_state *state, mrb_value self)
{
  mrb_int num;
  mrb_get_args(state, "i", &num);
  mrb_value base = mrb_nil_value();
  mrb_get_args(state, "|i", &base);
  if (mrb_nil_p(base)) {
    base = mrb_int2fix(state, 10);
  }
  mrb_value str = mrb_str_new_cstr(state, "0");
  mrb_str_set_len(str, mrb_str_to_a(state, mrb_fixnum(base)));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "d"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "X"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "O"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "B"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "b"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "x"));
  mrb_str_cat(str, state, mrb_str_new_cstr(state, "o"));
