->cur < INPUT_CHUNK)) \
	xmlGROW (ctxt);

static void xmlGROW (xmlParserCtxtPtr ctxt) {
    if ((ctxt->input->buf) &&
        ((ctxt->input->buf->encoder) || (ctxt->input->buf->readcallback)))
        xmlParserInputGrow(ctxt->input, INPUT_CHUNK);
    else
        xmlParserInputBufferGrow(ctxt->input, INPUT_CHUNK);
}

#define NEXT do {							\
    if (ctxt->input->cur == ctxt->input->end)				\
        xmlParserInputGrow(ctxt->input, INPUT_CHUNK);			\
    if (ctxt->input->cur == ctxt->input->end) {				\
        xmlFatalErrMsg(ctxt, XML_ERR_INTERNAL_ERROR,			\
                       "Input buffer error");				\
        xmlHaltParser(ctxt);						\
    }									\
    if (ctxt->input->cur[0] == '&') {					\
        xmlParserHandlePEReference(ctxt);					\
    } else if (ctxt->input->cur[0] == 0x9) {				\
        ctxt->input->cur++; ctxt->input->col++;				\
    } else if (ctxt->input->cur[0] == 0xA) {				\
        ctxt->input->line++; ctxt->input->col = 1;			\
        ctxt->input->cur++;						\
    } else if (ctxt->input->cur[0] == 0xD) {				\
        if (ctxt->input->cur[1] == 0xA) {				\
            ctxt->input->line++; ctxt->input->col = 1;			\
            ctxt->input->cur += 2;					\
        } else {							\
            ctxt->input->line++; ctxt->input->col = 1;			\
            ctxt->input->cur++;						\
        }								\
    } else if (ctxt->input->cur[0] == 0xC) {				\
        ctxt->input->line++; ctxt->input->col = 1;			\
        ctxt->input->cur++;						\
    } else if (ctxt->input->cur[0] >= 0x20) {				\
        ctxt->input->cur++; ctxt->input->col++;				\
    } else {								\
        xmlFatalErrMsg(ctxt, XML_ERR_INTERNAL_ERROR,			\
                       "Input buffer error");				\
        xmlHaltParser(ctxt);						\
    }									\
} while (0)

#define NEXTL(l) do {							\
    if (ctxt->input->cur == ctxt->input->end)				\
        xmlParserInputGrow(ctxt->input, INPUT_CHUNK);			\
    if (ctxt->input->cur == ctxt->input->end) {				\
        xmlFatalErrMsg(ctxt, XML_ERR_INTERNAL_ERROR,			\
                       "Input buffer error");				\
        xmlHaltParser(ctxt);						\
    }									\
    if (ctxt->input->cur[0] == '&') {					\
        xmlParserHandlePEReference(ctxt);					\
