mrb_define_method(mrbstateptr, io, "read",      io_read,      MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "readbyte",   io_readbyte,   MRB_ARGS_NONE());
mrb_define_method(mrbstateptr, io, "readchar",   io_readchar,   MRB_ARGS_NONE());
mrb_define_method(mrbstateptr, io, "readline",   io_readline,   MRB_ARGS_NONE());
mrb_define_method(mrbstateptr, io, "readlines",  io_readlines,  MRB_ARGS_NONE());
mrb_define_method(mrbstateptr, io, "readpartial",io_readpartial,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "read_nonblock",io_read_nonblock,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread",    io_sysread,    MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread_nonblock",io_sysread_nonblock,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysreadpartial",io_sysreadpartial,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread_nonblock_partial",io_sysread_nonblock_partial,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread_nonblock",io_sysread_nonblock,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread",    io_sysread,    MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysreadpartial",io_sysreadpartial,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread_nonblock_partial",io_sysread_nonblock_partial,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread_nonblock",io_sysread_nonblock,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread",    io_sysread,    MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysreadpartial",io_sysreadpartial,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread_nonblock_partial",io_sysread_nonblock_partial,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread_nonblock",io_sysread_nonblock,MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysread",    io_sysread,    MRB_ARGS_ANY());
mrb_define_method(mrbstateptr, io, "sysreadpartial",io_sysreadpartial,MRB_ARGS_ANY());
