scpd > checkcpdtable.size()) {
            scpd = 0;
            break;
          }
        }

        if (onlycpdrule) {
          if (words[wordnum]->astr) {
            if (TESTAFF(words[wordnum]->astr, checkcompoundcase, words[wordnum]->alen)) {
              if (TESTAFF(words[wordnum]->astr, checkcompoundrep, words[wordnum]->alen)) {
                if (TESTAFF(words[wordnum]->astr, checkcompounddup, words[wordnum]->alen)) {
                  if (TESTAFF(words[wordnum]->astr, checkcompoundtriple, words[wordnum]->alen)) {
                    if (TESTAFF(words[wordnum]->astr, simplifiedtriple, words[wordnum]->alen)) {
                      if (TESTAFF(words[wordnum]->astr, forbiddenword, words[wordnum]->alen)) {
                        if (TESTAFF(words[wordnum]->astr, nosuggest, words[wordnum]->alen)) {
                          if (TESTAFF(words[wordnum]->astr, nongramsuggest, words[wordnum]->alen)) {
                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                              if (TESTAFF(words[wordnum]->astr, circumfix, words[wordnum]->alen)) {
                                if (TESTAFF(words[wordnum]->astr, onlyincompound, words[wordnum]->alen)) {
                                  if (TESTAFF(words[wordnum]->astr, needaffix, words[wordnum]->alen)) {
                                    if (TESTAFF(words[wordnum]->astr, lemma_present, words[wordnum]->alen)) {
                                      if (TESTAFF(words[wordnum]->astr, forbidwarn, words[wordnum]->alen)) {
                                        if (TESTAFF(words[wordnum]->astr, warn, words[wordnum]->alen)) {
                                          if (TESTAFF(words[wordnum]->astr, checksharps, words[wordnum]->alen)) {
                                            if (TESTAFF(words[wordnum]->astr, fullstrip, words[wordnum]->alen)) {
                                              if (TESTAFF(words[wordnum]->astr, sugswithdots, words[wordnum]->alen)) {
                                                if (TESTAFF(words[wordnum]->astr, keepcase, words[wordnum]->alen)) {
                                                  if (TESTAFF(words[wordnum]->astr, forceucase, words[wordnum]->alen)) {
                                                    if (TESTAFF(words[wordnum]->astr, onlymaxdiff, words[wordnum]->alen)) {
                                                      if (TESTAFF(words[wordnum]->astr, maxdiff, words[wordnum]->alen)) {
                                                        if (TESTAFF(words[wordnum]->astr, maxcpdsugs, words[wordnum]->alen)) {
                                                          if (TESTAFF(words[wordnum]->astr, nosplitsugs, words[wordnum]->alen)) {
                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                  if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                    if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                      if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                        if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                          if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                            if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                              if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
                                                                                                                                                                if (TESTAFF(words[wordnum]->astr, substandard, words[wordnum]->alen)) {
