static void thrift_set_method(struct ndpi_detection_module_struct *ndpi_struct,
                              struct ndpi_flow_struct *flow,
                              char const * const method, size_t methodlen)
{
  if (methodlen > NDPI_MAX_METHOD_LENGTH) {
    NDPI_EXCLUDE_PROTO(ndpi_struct, flow);
    return;
  }

  if (thrift_validate_method(method, methodlen) == 0) {
    NDPI_EXCLUDE_PROTO(ndpi_struct, flow);
    return;
  }

  if (flow->detected_protocol_stack[0] == NDPI_PROTOCOL_THRIFT) {
    /* Update the method field of the flow's protocol stack. */
    flow->detected_protocol_stack[1] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[2] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[3] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[4] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[5] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[6] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[7] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[8] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[9] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[10] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[11] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[12] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[13] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[14] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[15] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[16] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[17] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[18] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[19] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[20] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[21] = NDPI_PROTOCOL_THRIFT;
    flow->detected_protocol_stack[22] = NDPI_PROTOCOL_THRIFT;
