curr_line->ld_file_entry = cur_file_entry;
                curr_line->ld_line = regs.lr_line;
                curr_line->ld_column = regs.lr_column;
                curr_line->ld_is_stmt = regs.lr_is_stmt;
                curr_line->ld_basic_block = regs.lr_basic_block;
                curr_line->ld_end_sequence = regs.lr_end_sequence;
                curr_line->ld_prologue_end = regs.lr_prologue_end;
                curr_line->ld_epilogue_begin = regs.lr_epilogue_begin;
                curr_line->ld_address = regs.lr_address;
                curr_line->ld_discriminator = regs.lr_discriminator;
                curr_line->ld_line_context = line_context;
                curr_line->ld_chain = NULL;
                curr_line->ld_logicals = logicals[line_count];
                curr_line->ld_logicals_count = logicals_count;
                curr_line->ld_logicals_index = line_count;
                curr_line->ld_chain_index = line_count;
                curr_line->ld_line_number = line_count + 1;
                curr_line->ld_address_size = address_size;
                curr_line->ld_doaddrs = doaddrs;
                curr_line->ld_dolines = dolines;
                curr_line->ld_is_single_table = is_single_table;
                curr_line->ld_is_actuals_table = is_actuals_table;
                curr_line->ld_line_context = line_context;
                curr_line->ld_error = error;
                curr_line->ld_err_count_out = err_count_out;
                curr_line->ld_line_ptr = line_ptr;
                curr_line->ld_line_ptr_end = line_ptr_end;
                curr_line->ld_section_start = section_start;
                curr_line->ld_line_context = line_context;
                curr_line->ld_line_count = line_count;
                curr_line->ld_line_matrix = NULL;
                curr_line->ld_line_matrix_size = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
                curr_line->ld_line_matrix_alloc = 0;
                curr_line->ld_line_matrix_index = 0;
                curr_line->ld_line_matrix_count = 0;
