static int
decode_preR13 (Bit_Chain *restrict dat, Dwg_Data *restrict dwg)
{
  int error = 0;
  Dwg_Object *obj = NULL;
  Dwg_Header *_obj = &dwg->header;
  Bit_Chain *hdl_dat = dat;
  BITCODE_BL vcount;

  dat->byte = 0x06;
  // clang-format off
  #include "header.spec"
  // clang-format on

  if (dat->from_version >= R_13b1)
    {
      error |= decode_R13_R2000 (dat, dwg);
    }
  else
    {
      error |= decode_preR13_sentinel (DWG_SENTINEL_R11_HEADER_BEGIN, "HEADER",
                                        dat, dwg);
      FIELD_RLx (header_size, 0);
      FIELD_RLx (header_address, 0);
      FIELD_RLx (entities_start, 0);
      FIELD_RLx (entities_end, 0);
      FIELD_RLx (blocks_start, 0);
      FIELD_RLx (extras_start, 0);
      FIELD_RLx (header_vars_start, 0);
      FIELD_RLx (header_vars_end, 0);
      FIELD_RLx (classes_start, 0);
      FIELD_RLx (classes_end, 0);
      FIELD_RLx (handles_start, 0);
      FIELD_RLx (handles_end, 0);
      FIELD_RLx (auxheader_start, 0);
      FIELD_RLx (auxheader_end, 0);
      FIELD_RLx (thumbnail_address, 0);
      FIELD_RLx (thumbnail_size, 0);
      FIELD_RLx (summaryinfo_address, 0);
      FIELD_RLx (summaryinfo_size, 0);
      FIELD_RLx (r2004_header_address, 0);
      FIELD_RLx (r2004_header_size, 0);
      FIELD_RLx (r2004_header_comp_data_size, 0);
      FIELD_RLx (r2004_header_decomp_data_size, 0);
      FIELD_RLx (r2004_header_checksum, 0);
      FIELD_RLx (r2004_header_section_map_address, 0);
      FIELD_RLx (r2004_header_section_info_id, 0);
      FIELD_RLx (r2004_header_numgaps, 0);
      FIELD_RLx (r2004_header_numsections, 0);
      FIELD_RLx (r2004_header_last_section_address, 0);
      FIELD_RLx (r2004_header_section_array_size, 0);
      FIELD_RLx (r2004_header_comp_data_size, 0);
      FIELD_RLx (r2004_header_decomp_data_size, 0);
      FIELD_RLx (r2004_header_checksum, 0);
      FIELD_RLx (r2004_header_section_map_id, 0);
      FIELD_RLx (r2004_header_section_info_id, 0);
      FIELD_RLx (r2004_header_numgaps, 0);
      FIELD_RLx (r2004_header_numsections, 0);
      FIELD_RLx (r2004_header_last_section_address, 0);
      FIELD_RLx (r2004_header_section_array_size, 0);
      FIELD_RLx (r2004_header_comp_data_size, 0);
      FIELD_RLx (r2004_header_decomp_data_size, 0);
      FIELD_RLx (r2004_header_checksum, 0);
      FIELD_RLx (r2004_header_section_map_id, 0);
      FIELD_RLx (r2004_header_section_info_id, 0);
      FIELD_RLx (r2004_header_numgaps, 0);
      FIELD_RLx (r2004_header_numsections, 0);
      FIELD_RLx (r2004_header_last_section_address, 0);
      FIELD_RLx (r2004_header_section_array_size, 0);
      FIELD_RLx (r2004_header_comp_data_size, 0);
      FIELD_RLx (r2004_header_decomp_data_size, 0);
      FIELD_RLx (r2004_header_checksum, 0);
      FIELD_RLx (r2004_header_section_map_id, 0);
      FIELD_RLx (r2004_header_section_info_id, 0);
      FIELD_RLx (r2004_header_numgaps, 0);
      FIELD_RLx (r2004_header_numsections, 0);
      FIELD_RLx (r2004_header_last_section_address, 0);
      FIELD_RLx (r2004_header_section_array_size, 0);
      FIELD_RLx (r2004_header_comp_data_size, 0);
      FIELD_RLx (r2004_header_decomp_data_size, 0);
      FIELD_RLx (r2004_header_checksum, 0);
      FIELD_RLx (r2004_header_section_map_id, 0);
      FIELD_RLx (r2004_header_section_info_id, 0);
      FIELD_RLx (r2004_header_numgaps, 0);
      FIELD_RLx (r2004_header_numsections, 0);
      FIELD_RLx (r2004_header_last_section_address, 0);
      FIELD_RLx (r2004_header_section_array_size, 0);
      FIELD_RLx (r2004_header_comp_data_size, 0);
      FIELD_RLx (r2004_header_decomp_data_size, 0);
      FIELD_RLx (r2004_header_checksum, 0);
      FIELD_RLx (r2004_header_section_map_id, 0);
      FIELD_RLx (r2004_header_section_info_id, 0);
      FIELD_RLx (r2004_header_numgaps, 0);
      FIELD_RLx (r2004_header_numsections, 0);
      FIELD_RLx (r2004_header_last_section_address, 0);
      FIELD_RLx (r2004_header_section_array_size, 0);
      FIELD_RLx (r2004_header_comp_data_size, 0);
      FIELD_RLx (r2004_header_decomp_data_size, 0);
      FIELD_RLx (r2004_header_checksum, 0);
      FIELD_RLx (r2004_header_section_map_id, 0);
      FIELD_RLx (r2004_header_section_info_id, 0);
      FIELD_RLx (r2004_header_numgaps, 0);
      FIELD_RLx (r2004_header_numsections, 0);
      FIELD_RLx (r2004_header_last_section_address, 0);
      FIELD_RLx (r2004_header_section_array_size, 0);
      FIELD_RLx (r2004_header_comp_data_size, 0);
      FIELD_RLx (r2004_header_decomp_data_size, 0);
      FIELD_RLx (r2004_header_checksum, 0);
      FIELD_RLx (r2004_header_section_map_id, 0);
      FIELD_RLx (r2004_header_section_info_id, 0);
      FIELD_RLx (r2004_header_numgaps, 0);
      FIELD_RLx (r2004_header_numsections, 0);
      FIELD_RLx (r2004_header_last_section_address, 0);
      FIELD_RLx (r2004_header_section_array_size, 0);
      FIELD_RLx (r2004_header_comp_data_size, 0);
      FIELD_RLx (r2004_header_decomp_data_size, 0);
      FIELD_RLx (r2004_header_checksum, 0);
