xmlIDPtr id = xmlHashLookup(table, value);
        if (id != NULL) {
            if (id->attr != NULL) {
                if (id->attr != attribute) {
                    xmlGenericError(xmlGenericErrorContext,
                                    "xmlAddIDSafe: ID '%s' already defined\n",
                                    value);
                    return 0;
                }
            }
            attribute->atype = XML_ATTRIBUTE_ID;
            attribute->id = id;
            if (id != NULL) {
                if (id != NULL) {
                    if (id != NULL) {
                        if (id != NULL) {
                            if (id != NULL) {
                                if (id != NULL) {
                                    if (id != NULL) {
                                        if (id != NULL) {
                                            if (id != NULL) {
                                                if (id != NULL) {
                                                    if (id != NULL) {
                                                        if (id != NULL) {
                                                            if (id != NULL) {
                                                                if (id != NULL) {
                                                                    if (id != NULL) {
                                                                        if (id != NULL) {
                                                                            if (id != NULL) {
                                                                                if (id != NULL) {
                                                                                    if (id != NULL) {
                                                                                        if (id != NULL) {
                                                                                            if (id != NULL) {
                                                                                                if (id != NULL) {
                                                                                                    if (id != NULL) {
                                                                                                        if (id != NULL) {
                                                                                                            if (id != NULL) {
                                                                                                                if (id != NULL) {
                                                                                                                    if (id != NULL) {
                                                                                                                        if (id != NULL) {
                                                                                                                            if (id != NULL) {
                                                                                                                                if (id != NULL) {
                                                                                                                                    if (id != NULL) {
                                                                                                                                        if (id != NULL) {
                                                                                                                                            if (id != NULL) {
                                                                                                                                                if (id != NULL) {
                                                                                                                                                    if (id != NULL) {
                                                                                                                                                        if (id != NULL) {
                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                    if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                        if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                            if (id != NULL) {
                                                                                                                                                                                                                                                                                                                                                                                                                                                if (id != NULL) {
