*/
  assert(image_info!= (const ImageInfo *) NULL);
  assert(image_info->signature == MagickCoreSignature);
  if (image_info->debug!= MagickFalse)
    (void) LogMagickEvent(TraceEvent,GetMagickModule(),"%s",
      image_info->filename);
  assert(exception!= (ExceptionInfo *) NULL);
  assert(exception->signature == MagickCoreSignature);
  status=OpenBlob(image_info,image,ReadBinaryBlobMode,exception);
  if (status == MagickFalse)
    return((Image *) NULL);
  image=AcquireImage(image_info,exception);
  (void) SetImageStorageClass(image,DirectClass,exception);
  (void) SetImageColorspace(image,RGBColorspace,exception);
  (void) SetImageDepth(image,8,exception);
  (void) SetImageType(image,TrueColorType,exception);
  (void) SetImageEndian(image,LSBEndian,exception);
  (void) SetImageCompression(image,NoCompression,exception);
  (void) SetImageCompressionQuality(image,UndefinedCompressionQuality,
    exception);
  (void) SetImageInterlace(image,NoInterlace,exception);
  (void) SetImageResolution(image,UndefinedResolution,exception);
  (void) SetImageUnits(image,UndefinedResolution,exception);
  (void) SetImagePage(image,UndefinedPage,exception);
  (void) SetImageOrientation(image,UndefinedOrientation,exception);
  (void) SetImageBackgroundColor(image,TransparentAlpha,exception);
  (void) SetImageBorderColor(image,TransparentAlpha,exception);
  (void) SetImageMatte(image,MagickFalse,exception);
  (void) SetImageMonochrome(image,MagickFalse,exception);
  (void) SetImageAlpha(image,MagickFalse,exception);
  (void) SetImageMatteColor(image,TransparentAlpha,exception);
  (void) SetImageBorderWidth(image,0,exception);
  (void) SetImageBorderColor(image,TransparentAlpha,exception);
  (void) SetImageTexture(image,TransparentAlpha,exception);
  (void) SetImageVirtualPixelMethod(image,UndefinedVirtualPixelMethod,
    exception);
  (void) SetImageDispose(image,UndefinedDispose,exception);
  (void) SetImageIterations(image,0,exception);
  (void) SetImageScene(image,0,exception);
  (void) SetImageDelay(image,1,exception);
  (void) SetImageTicksPerSecond(image,100,exception);
  (void) SetImagePageGeometry(image,UndefinedPage,exception);
  (void) SetImageCompressionThreads(image,GetMagickResourceLimit(
    ThreadResource),exception);
  (void) SetImageFormat(image_info->magick,exception);
  (void) SetImageOption(image,"jpeg:fancy-upsampling","off");
  (void) SetImageOption(image,"jpeg:optimize-coding","off");
  (void) SetImageOption(image,"jpeg:smooth","off");
  (void) SetImageOption(image,"png:compression-filter","5");
  (void) SetImageOption(image,"png:compression-level","6");
  (void) SetImageOption(image,"png:compression-strategy","0");
  (void) SetImageOption(image,"png:exclude-chunk","all");
  (void) SetImageOption(image,"png:include-chunk","none");
  (void) SetImageOption(image,"png:ztxt","none");
  (void) SetImageOption(image,"tiff:rows-per-strip","8");
  (void) SetImageOption(image,"webp:lossless","false");
  (void) SetImageOption(image,"webp:method","4");
  (void) SetImageOption(image,"webp:alpha-quality","100");
  (void) SetImageOption(image,"webp:image-hint","picture");
