,imagemagick,skia,harfbuzz,ndpi,binutils-gdb,ghostpdl,ffmpeg,opensc,gdal,graphicsmagick,php-src,wireshark,libxml2,wolfssl,c-blosc2,mruby,mupdf,libredwg,serenity,openthread,matio,open62541,librawspeed,pcapplusplus,libvips,libavc,gpac,fluent-bit,assimp,libraw,kimageformats,lcms,arrow,libjxl,wasm3,wolfmqtt,rdkit,selinux,hunspell,sleuthkit,libdwarf,leptonica,yara,poppler,capstonenext,envoy,libxslt,openvswitch,radare2,libarchive,file,pcl,aom,uwebsockets,htslib,gnutls,libhevc,pcre2,unrar,ntopng,hdf5,curl,lwan,freeradius-server,net-snmp,karchive,libxaac,njs,icu,perfetto,espeak-ng,flac,freetype2,dnsmasq,unicorn,upx,samba,openexr,libheif,llvm-project,zstd,duckdb,oniguruma,proj.4,libgit2,libexif,opensips,libplist,elfutils,exiv2,qt,relic,flatbuffers,libreoffice,libsndfile,draco,bitcoin-core,wabt,boringssl,usrsctp,libjpeg-turbo,ots,mongoose,libucl,kamailio,igraph,zeek,readstat,stb,mosquitto,freeimage-svn,dav1d,c-ares,mdbtools,glib,qpdf,opus,libspng,clickhouse,simdjson,rnp,mapserver,lxc,muparser,jbig2dec,sudo,openssl,libspectre,tint,binutils-preconditions,libmpeg2,gstreamer,libbpf,grpc,md4c,faad2,opencv,h2o,irssi,libssh2,fmt,simdutf,wget2,cyclonedds,hostap,krb5,skcms,miniz,quickjs,moddable,spice-usbredir,lz4,wavpack,aac,systemd,wpantund,vlc,tinygltf,qemu,jq,libjpeg-turbo.dev,libavif,cryptofuzz,libcoap,lua,libzmq,openjpeg,libvpx,libsass,geos,h3,mbedtls,pjsip,expat,json,glog,libpsl,httpd,wasmedge,tpm2,c-blosc,tmux,postgis,mysql-server,p11-kit,alembic,bloaty,lldpd,tarantool,haproxy,libpcap,util-linux,cpython3,botan,valijson,jsoncons,qt/qtqa,clamav-devel,libtiff,libjpeg-turbo.main,hermes,libwebp,jasper,libjpeg-turbo.2.0.x,fio,nginx,libidn2,libultrahdr,gpsd,immer,fribidi,dawn,libass,qtqa,clamav,libtpms,picotls,qpid-proton,trafficserver,ntpsec,tcmalloc,knot-dns,croaring,s2opc,python-library-fuzzers,coturn,brunsli,tesseract,tor,jsoncpp,libiec61850,fuzzing,libzip,node,resiprocate,bind9,wuffs,nccl,osquery,libwebsockets,mcl,liblouis,tidy-html5,libusb,open5gs,oss-fuzz-example,capstonemaster,pigweed,libssh,gdbm,qtbase,s2geometry,janus-gateway,tinyxml2,hoextdown,clamav-fuzz-corpus,dovecot,extra-cmake-modules,simd,aspell,upb,libsrtp,arduinojson,e2fsprogs,libteken,json-c,libprotobuf-mutator,libpng,dropbear,libjpeg-turbo.2.1.x,hiredis,freerdp,librabbitmq,little-cms,oss-fuzz-bloat,cups,firebase-ios-sdk,re2,centipede,rapidjson,libgd,ostree,zlib,gnupg,libical,msquic
Samples in both meta and patches folders,367,161,147,146,140,136,122,121,105,104,101,94,94,84,84,83,82,76,75,63,59,59,58,56,53,52,52,52,52,48,45,42,41,38,38,37,37,37,35,35,34,32,32,28,28,27,27,26,25,24,24,24,24,24,23,23,23,20,20,20,19,19,18,18,18,17,17,16,16,16,16,16,15,15,15,14,13,13,13,13,13,12,11,11,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Samples with unique fixing commits,290,102,112,123,126,123,108,93,91,81,90,76,56,73,53,61,52,59,53,42,28,36,53,35,40,28,50,40,46,25,27,25,21,28,14,15,13,26,32,21,32,28,28,27,22,18,13,17,20,20,22,3,15,13,19,8,13,15,4,19,7,14,16,14,13,9,16,15,15,15,11,15,10,4,8,13,12,11,13,13,13,11,6,9,11,9,10,9,6,9,4,9,6,9,9,2,5,5,5,6,6,8,8,7,6,6,8,7,6,8,2,7,3,7,6,3,1,6,6,3,6,7,5,7,6,7,6,6,2,3,5,6,5,6,4,5,6,4,4,4,5,4,2,5,3,3,3,4,4,4,2,2,3,4,2,4,2,4,4,4,4,3,4,4,4,4,4,1,4,4,4,2,3,1,4,2,3,3,3,2,2,3,2,2,3,1,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Samples without UnicodeDecodeError or UnidiffParseError in diff file,290,102,112,123,126,123,108,93,91,81,90,76,55,72,53,61,52,59,52,42,28,36,53,35,40,28,50,40,46,24,27,25,21,28,14,15,13,26,32,21,32,28,28,27,22,18,13,17,20,20,22,3,15,13,19,8,13,10,4,19,7,14,11,14,12,9,16,15,15,15,11,15,10,3,8,13,12,11,13,13,13,9,6,9,11,9,10,7,6,9,4,9,6,9,9,2,5,5,5,6,6,8,8,7,6,6,8,7,5,8,2,7,3,7,6,3,1,6,6,3,6,7,5,5,6,7,6,6,2,3,5,6,5,6,4,5,6,4,4,4,5,4,2,5,3,3,3,4,4,4,2,2,3,4,2,4,2,4,4,4,4,3,4,4,4,4,4,1,4,4,4,2,3,1,4,2,2,3,3,2,2,3,2,2,3,1,2,3,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Samples after removing non-git repositories,290,102,112,123,126,123,108,93,91,0,90,76,55,72,53,61,52,59,52,42,28,36,53,35,40,17,50,40,46,24,27,25,21,28,14,15,13,26,32,21,32,28,28,27,22,18,13,17,20,20,22,3,0,13,19,8,1,10,4,19,7,14,11,14,12,9,16,0,15,0,11,15,10,3,8,13,12,11,13,13,13,9,6,9,11,9,10,7,6,9,4,9,6,9,9,2,5,5,0,6,6,8,8,7,6,6,8,7,5,8,0,7,3,7,6,3,1,6,6,3,6,7,5,5,6,7,6,6,0,3,0,6,5,6,4,5,6,4,4,4,5,4,2,5,3,3,3,4,4,4,2,2,3,0,2,4,2,4,4,4,4,3,4,4,4,4,4,0,4,4,4,2,3,1,4,2,2,2,3,0,2,3,2,2,3,1,2,3,2,3,3,3,3,3,2,3,3,3,2,2,2,0,2,2,2,0,2,2,2,1,2,0,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Samples with valid fix_commit,290,102,112,123,126,123,108,93,91,0,90,76,55,72,53,61,52,59,52,42,28,36,53,35,40,17,50,40,46,24,27,25,21,28,14,15,13,26,32,21,32,28,28,27,22,18,13,17,20,20,22,3,0,13,19,8,1,10,4,19,7,14,11,14,12,9,16,0,15,0,11,15,10,3,8,13,12,11,13,13,13,9,6,9,11,9,10,7,6,9,4,9,6,9,9,2,5,5,0,6,6,8,8,7,6,6,8,7,5,8,0,7,3,7,6,3,1,6,6,3,6,7,5,5,6,7,6,6,0,3,0,6,5,6,4,5,6,4,4,4,5,4,2,5,3,3,3,4,4,4,2,2,3,0,2,4,2,4,4,4,4,3,4,4,4,4,4,0,4,4,4,2,3,1,4,2,2,2,3,0,2,3,2,2,3,1,2,3,2,3,3,3,3,3,2,3,3,3,2,2,2,0,2,2,2,0,2,2,2,1,2,0,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Samples with a commit,290,102,112,123,126,123,108,93,91,0,90,76,55,72,53,61,52,59,52,42,28,36,53,35,40,17,50,40,46,24,27,25,21,28,14,15,13,26,32,21,32,28,28,27,22,18,13,17,20,20,22,3,0,13,19,8,1,10,4,19,7,14,11,14,12,9,16,0,15,0,11,15,10,3,8,13,12,11,13,13,13,9,6,9,11,9,10,7,6,9,4,9,6,9,9,2,5,5,0,6,6,8,8,7,6,6,8,7,5,8,0,7,3,7,6,3,1,6,6,3,6,7,5,5,6,7,6,6,0,3,0,6,5,6,4,5,6,4,4,4,5,4,2,5,3,3,3,4,4,4,2,2,3,0,2,4,2,4,4,4,4,3,4,4,4,4,4,0,4,4,4,2,3,1,4,2,2,2,3,0,2,3,2,2,3,1,2,3,2,3,3,3,3,3,2,3,3,3,2,2,2,0,2,2,2,0,2,2,2,1,2,0,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Samples that could be read with Repository(),290,102,112,123,126,123,108,93,91,0,90,76,55,72,53,61,52,59,52,42,28,36,53,35,40,17,50,40,46,24,27,25,21,28,14,15,13,26,32,21,32,28,28,27,22,18,13,17,20,20,22,3,0,13,19,8,1,10,4,19,7,14,11,14,12,9,16,0,15,0,11,15,10,3,8,13,12,11,13,13,13,9,6,9,11,9,10,7,6,9,4,9,6,9,9,2,5,5,0,5,6,8,8,7,6,6,8,7,5,8,0,7,3,7,6,3,1,6,6,3,6,7,5,5,6,7,6,6,0,3,0,6,5,6,4,5,6,4,4,4,5,4,2,5,3,3,3,4,4,4,2,2,3,0,2,4,2,4,4,4,4,3,0,4,4,4,4,0,4,4,4,2,3,1,4,2,2,2,3,0,2,3,2,2,3,1,2,3,2,3,3,3,3,3,2,3,0,3,2,2,2,0,2,2,2,0,2,2,2,1,2,0,2,2,1,2,1,1,1,1,1,2,1,2,0,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Samples that are not merge commits,290,102,110,117,126,123,107,93,87,0,57,76,55,32,39,60,52,59,52,42,28,34,53,35,34,17,50,39,24,23,27,25,21,28,11,10,13,26,32,8,32,28,28,27,20,18,13,17,20,15,22,3,0,13,19,3,1,10,4,19,7,14,11,14,4,9,16,0,15,0,8,15,10,3,8,13,12,11,10,13,10,7,6,8,8,9,10,7,6,8,4,9,6,9,9,2,0,5,0,5,6,8,7,7,6,6,6,7,4,8,0,7,3,6,6,3,1,6,4,3,6,5,5,5,6,7,6,6,0,1,0,6,5,4,4,5,3,4,4,4,5,4,2,5,3,3,3,4,4,4,2,2,3,0,1,4,2,3,3,4,3,3,0,4,4,2,3,0,3,4,4,1,3,1,4,2,2,2,3,0,2,0,2,2,3,1,2,3,2,3,3,3,3,3,1,3,0,3,0,2,2,0,2,2,2,0,2,2,2,1,2,0,2,2,1,2,1,1,1,1,1,2,1,2,0,2,1,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
Samples that changed 0 or >1 cxx files,235,61,81,93,99,103,78,81,69,0,32,66,44,14,22,55,38,39,29,30,18,21,40,15,21,6,40,27,19,17,17,17,7,19,2,6,2,22,30,7,20,16,23,20,9,4,9,14,14,14,18,2,0,7,12,2,0,7,0,13,3,9,8,13,3,5,6,0,8,0,4,14,8,2,4,12,4,8,6,10,4,3,5,6,6,9,10,7,6,8,0,6,3,8,7,0,0,2,0,4,4,5,0,6,6,3,4,4,3,5,0,2,1,4,5,2,1,5,3,2,4,5,4,2,6,6,5,4,0,0,0,4,4,0,3,3,1,2,3,3,4,2,1,3,3,0,2,3,2,4,2,1,1,0,0,3,2,2,1,4,2,1,0,3,2,1,3,0,3,2,4,1,1,0,3,2,1,1,2,0,1,0,0,0,1,0,2,3,0,3,1,3,2,2,1,2,0,2,0,0,2,0,0,0,1,0,2,1,2,0,2,0,2,0,1,1,1,1,0,0,1,1,0,2,0,2,0,1,0,2,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0
Samples with 1 changed function,204,51,59,81,74,91,59,74,58,0,20,40,29,8,18,47,29,33,25,24,11,15,35,11,15,4,36,23,15,16,10,15,4,15,0,4,2,18,27,6,14,13,17,18,6,4,8,10,8,10,14,1,0,5,9,2,0,6,0,13,1,8,8,10,3,4,4,0,6,0,2,9,7,0,4,5,4,7,6,8,4,1,4,6,6,7,9,7,4,5,0,4,1,7,7,0,0,0,0,2,3,4,0,4,6,3,3,3,2,3,0,1,1,4,4,0,1,3,1,2,1,3,3,2,3,5,3,4,0,0,0,4,3,0,1,2,0,2,3,3,4,0,1,1,3,0,1,3,0,4,2,1,0,0,0,2,2,1,1,4,1,1,0,2,2,1,2,0,2,2,4,1,0,0,1,1,1,1,2,0,1,0,0,0,1,0,1,3,0,3,0,2,1,0,1,1,0,2,0,0,2,0,0,0,1,0,2,0,2,0,1,0,2,0,1,0,1,0,0,0,1,1,0,1,0,2,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
