Step,Description,Number of Samples Present
1,Start,5001
2,Samples in both meta and patches folders,4963
3,Samples with unique fixing commits,3725
4,Samples without UnicodeDecodeError or UnidiffParseError in diff file,3700
5,Samples after removing non-git repositories,3519
6,Samples with valid fix_commit,3519
7,Samples with a commit,3519
8,Samples that could be read with Repository(),3510
9,Samples that are not merge commits,3278
10,Samples that changed 0 or >1 cxx files,2315
11,Samples with 1 changed function,1831
12,Samples without an exeception,1831
13,Samples in projects.py,1292
14,Samples in top 40,1234
